url,category,price_usd,days,status,primary_keyword,cannibalization_group,note
/safaris/10-day-safari-zanzibar-adventure,safari,4890,10,priced,safari and zanzibar adventure,,Premium bush-to-beach
/safaris/9-day-beach-city-bush,safari,2890,9,priced,zanzibar tanzania kenya safari,,The 1 real page stuck not-indexed - needs internal links
/safaris/7-day-kilimanjaro-hike-safari,safari,2210,7,priced,kilimanjaro hike and safari,,Climb+safari combo
/safaris/13-day-romance-honeymoon,safari,5646,13,priced,tanzania honeymoon safari,honeymoon,PRIMARY - priced flagship
/safaris/20-day-honeymoon-tanzania-zanzibar,safari,8750,20,priced,20 day tanzania zanzibar honeymoon,honeymoon,Longest/most premium
/safaris/7-day-ultimate-honeymoon,safari,0,7,STUB,7 day tanzania honeymoon,honeymoon,$0 stub + variant
/safaris/10-day-honeymoon-migration,safari,0,10,STUB,honeymoon migration safari,honeymoon,$0 stub + variant
/safaris/9-day-honeymoon-northern,safari,0,9,STUB,northern tanzania honeymoon safari,honeymoon,$0 stub + variant
/zanzibar/7-day-zanzibar-honeymoon,zanzibar,0,7,STUB,zanzibar honeymoon,honeymoon,$0 stub + variant
/zanzibar/4-day-zanzibar-escape,zanzibar,1708,4,priced,zanzibar beach holiday,zanzibar-escape,PRIMARY (UK phrasing 'holiday')
/zanzibar/5-day-zanzibar-escape,zanzibar,1708,5,priced,zanzibar beach and culture,zanzibar-escape,Culture variant
/zanzibar/8-day-zanzibar-tour,zanzibar,2500,8,priced,zanzibar tour 8 days,,Longer stay
/cultural/5-day-cultural-tour,cultural,0,5,STUB,tanzania cultural tour,cultural,PRIMARY (+$0 stub)
/cultural/8-day-cultural-tour,cultural,0,8,STUB,tanzania cultural heritage tour,cultural,$0 stub + variant
/paramotoring/3-day-paramotoring-arusha-kilimanjaro,paramotoring,0,3,STUB,paramotoring tanzania,paramotoring,PRIMARY (+$0 stub)
/paramotoring/12-day-paramotoring-safari,paramotoring,0,12,STUB,paramotoring safari tanzania,paramotoring,$0 stub + variant
